"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 09:49:43 GMT 2025","Tue Mar 25 09:49:43 GMT 2025","11","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности [3] , 400, Empty parameters",""
"passed","Tue Mar 25 09:49:42 GMT 2025","Tue Mar 25 09:49:42 GMT 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя [3] , Alice, 400, Empty parameters",""
"passed","Tue Mar 25 09:49:45 GMT 2025","Tue Mar 25 09:49:45 GMT 2025","8","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","testGetUserLastSessionDate(String, String, Session, Session) [1] user8, 2025-03-06, Mock for Session, hashCode: 1852951004, null",""
"passed","Tue Mar 25 09:49:43 GMT 2025","Tue Mar 25 09:49:43 GMT 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity","Тест получения месячной активности [2] user2, 2025-03, 400, Invalid data: No sessions found for user",""
"passed","Tue Mar 25 09:49:43 GMT 2025","Tue Mar 25 09:49:43 GMT 2025","9","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity_MissingMonth","Тест получения месячной активности без month",""
"passed","Tue Mar 25 09:49:43 GMT 2025","Tue Mar 25 09:49:43 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers","Тест получения неактивных пользователей [2] days, 400, Invalid number format for days",""
"passed","Tue Mar 25 09:49:43 GMT 2025","Tue Mar 25 09:49:43 GMT 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии с пропущенным параметром [1] loginTime, 2025-03-05T14:00:00.00, logoutTime, 2025-03-05T15:00:00.00, 400, Missing parameters",""
"passed","Tue Mar 25 09:49:42 GMT 2025","Tue Mar 25 09:49:42 GMT 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии [3] , 2025-03-05T14:00:00.00, 2025-03-05T15:00:00.00, 400, Empty parameters",""
"passed","Tue Mar 25 09:49:43 GMT 2025","Tue Mar 25 09:49:43 GMT 2025","13","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии с пропущенным параметром [2] userId, user1, logoutTime, 2025-03-05T15:00:00.00, 400, Missing parameters",""
"passed","Tue Mar 25 09:49:42 GMT 2025","Tue Mar 25 09:49:42 GMT 2025","27","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии [1] user1, 2025-03-05T14:00:00.00, 2025-03-05T15:00:00.00, 200, Session recorded",""
"passed","Tue Mar 25 09:49:43 GMT 2025","Tue Mar 25 09:49:43 GMT 2025","532","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers","Тест получения неактивных пользователей [1] 1, 200, [""user1""]",""
"passed","Tue Mar 25 09:49:42 GMT 2025","Tue Mar 25 09:49:42 GMT 2025","13","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии [5] user1, 2025-03-05T14:00:00.00, , 400, Empty parameters",""
"passed","Tue Mar 25 09:49:43 GMT 2025","Tue Mar 25 09:49:43 GMT 2025","44","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности [1] user1, 200, Total activity: 60 minutes",""
"passed","Tue Mar 25 09:49:42 GMT 2025","Tue Mar 25 09:49:42 GMT 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя [2] user3, kate, 200, User registered: true",""
"passed","Tue Mar 25 09:49:43 GMT 2025","Tue Mar 25 09:49:43 GMT 2025","28","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity","Тест получения месячной активности [1] user1, 2025-03, 200, {""2025-03-05"":60}",""
"passed","Tue Mar 25 09:49:42 GMT 2025","Tue Mar 25 09:49:42 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии [4] user1, , 2025-03-05T15:00:00.00, 400, Empty parameters",""
"passed","Tue Mar 25 09:49:42 GMT 2025","Tue Mar 25 09:49:42 GMT 2025","21","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя [1] user1, Alice, 200, User registered: true",""
