"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 15:37:41 GMT 2025","Mon Mar 24 15:37:41 GMT 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности [3] , 400, Empty parameters",""
"passed","Mon Mar 24 15:37:41 GMT 2025","Mon Mar 24 15:37:41 GMT 2025","24","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии [1] user1, 2025-03-05T14:00:00.00, 2025-03-05T15:00:00.00, 200, Session recorded",""
"passed","Mon Mar 24 15:37:44 GMT 2025","Mon Mar 24 15:37:44 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","testGetUserStatus(String, Long, String) [3] user3, 130, Highly active",""
"passed","Mon Mar 24 15:37:42 GMT 2025","Mon Mar 24 15:37:42 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity","Тест получения месячной активности [3] , 2025-03, 400, Empty userId parameter",""
"passed","Mon Mar 24 15:37:42 GMT 2025","Mon Mar 24 15:37:42 GMT 2025","39","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity","Тест получения месячной активности [1] user1, 2025-03, 200, {""2025-03-05"":60}",""
"passed","Mon Mar 24 15:37:44 GMT 2025","Mon Mar 24 15:37:44 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","testGetUserStatus(String, Long, String) [2] user2, 90, Active",""
"passed","Mon Mar 24 15:37:41 GMT 2025","Mon Mar 24 15:37:41 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity_MissingUserId","Тест получения общего времени активности без userId",""
"passed","Mon Mar 24 15:37:40 GMT 2025","Mon Mar 24 15:37:40 GMT 2025","19","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя [2] user3, kate, 200, User registered: true",""
"passed","Mon Mar 24 15:37:41 GMT 2025","Mon Mar 24 15:37:41 GMT 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии [2] user2, 2025-03-05T14:00:00.00, 2025-03-05T15:00:00.00, 400, Invalid data: User not found",""
"passed","Mon Mar 24 15:37:41 GMT 2025","Mon Mar 24 15:37:41 GMT 2025","17","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии с пропущенным параметром [2] userId, user1, logoutTime, 2025-03-05T15:00:00.00, 400, Missing parameters",""
